Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
ASNS		ENSG00000070669	"Asparagine synthetase (glutamine-hydrolyzing)"	P08243	7	97851677-97872542	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Amino-acid biosynthesis, Asparagine biosynthesis"	Ligase	"Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"pancreas: 117.5"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 45.5;Excitatory neurons: 50.1;Inhibitory neurons: 46.7;Late spermatids: 47.8"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Group enriched"	"Detected in all"	6	"B-cells: 9.0;T-cells: 14.2"	"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA004924, HPA029318, HPA064737"	Approved		Supported	Cytosol			No	No		37000	"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 32: Endocrine & Neural - Unknown function"	"Cluster 37: Neurons - Mixed function"	"Cluster 13: Non-specific - Mixed function"	"Cluster 13: Spermatids - Transcription"	12	Cytosol		"HPA004924: AB_2667295, HPA029318: AB_10602389, HPA064737: AB_2685341"	"unprognostic (2.23e-1)"	"unprognostic (3.38e-2)"	"unprognostic (3.57e-2)"	"unprognostic (3.11e-1)"	"unprognostic (1.33e-2)"	"unprognostic (3.44e-3)"	"unprognostic (1.88e-1)"	"unprognostic (1.33e-1)"	"unprognostic (6.39e-5)"	"unprognostic (2.45e-3)"	"unprognostic (8.77e-8)"	"unprognostic (6.01e-3)"	"unprognostic (6.67e-2)"	"unprognostic (6.35e-6)"	"unprognostic (3.70e-2)"	"unprognostic (6.62e-2)"	"unprognostic (3.65e-3)"	"unprognostic (5.27e-2)"	"unprognostic (1.61e-2)"	"unprognostic (1.30e-1)"	"unprognostic (2.85e-2)"	"unprognostic (2.00e-2)"	"unprognostic (1.61e-1)"	"unprognostic (5.32e-3)"	"unprognostic (1.16e-2)"	"unprognostic (4.35e-1)"	"unprognostic (9.91e-2)"	"unprognostic (1.05e-1)"	"unprognostic (3.59e-1)"	"unprognostic (1.31e-2)"	"unprognostic (8.49e-2)"
BCAT1	"BCATc, BCT1"	ENSG00000060982	"Branched chain amino acid transaminase 1"	P54687	12	24810024-24949101	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Amino-acid biosynthesis, Branched-chain amino acid biosynthesis, Lipid metabolism"	"Aminotransferase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"pancreas: 56.4"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 168.9;Exocrine glandular cells: 144.6;Langerhans cells: 329.5;Late spermatids: 349.4"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Testicular Germ Cell Tumor (TCGA): 47.7"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"non-classical monocyte: 17.3"	"Group enriched"	"Detected in many"	10	"dendritic cells: 5.8;monocytes: 17.3"	"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Kidney - Macrophages, Minor Salivary Gland - Macrophages, Pituitary gland - Somatotropes, Skeletal muscle - Macrophages, Thyroid gland - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA048592	Uncertain						NA	NA		41000	"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 15: Pancreas - Proteolysis"	"Cluster 45: Non-specific - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 58: Macrophages - Innate immune response"				"HPA048592: AB_2680454"	"unprognostic (2.47e-1)"	"unprognostic (2.72e-2)"	"unprognostic (3.02e-1)"	"unprognostic (2.15e-4)"	"unprognostic (2.98e-2)"	"unprognostic (1.82e-1)"	"unprognostic (7.85e-2)"	"unprognostic (1.13e-3)"	"unprognostic (3.37e-4)"	"unprognostic (3.14e-3)"	"unprognostic (1.19e-2)"	"unprognostic (2.57e-1)"	"unprognostic (1.74e-2)"		"unprognostic (4.12e-2)"	"unprognostic (1.38e-1)"	"unprognostic (3.62e-2)"	"unprognostic (5.25e-2)"	"unprognostic (4.19e-1)"	"unprognostic (5.93e-3)"	"unprognostic (4.10e-3)"	"unprognostic (2.23e-3)"	"unprognostic (2.48e-1)"		"unprognostic (5.10e-2)"	"unprognostic (3.02e-3)"		"unprognostic (2.80e-3)"	"unprognostic (1.00e-1)"	"unprognostic (2.79e-2)"	"unprognostic (3.96e-2)"
BICDL2	CCDC64B	ENSG00000162069	"BICD family like cargo adaptor 2"	A1A5D9	16	3027682-3036944	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 101.9;pancreas: 123.5"	"Cell type enhanced"	"Detected in many"		"Club cells: 98.6;Distal enterocytes: 220.8;Ionocytes: 103.1;Paneth cells: 119.1;Proximal enterocytes: 115.6;Suprabasal keratinocytes: 89.4"	"Cell type enhanced"	"Detected in many"		"lower rhombic lip: 16.2"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Colon - Colon enterocytes, Liver - Cholangiocyte, Lung - Alveolar cells type 2"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in some"		"basal ganglia: 3.7"	HPA043251	Approved		Approved	"Intermediate filaments,Actin filaments,Cytosol"			No	NA				"Cluster 38: Salivary gland - Salivary secretion"	"Cluster 24: Neurons - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 5: Enterocytes - Absorption"	4	"Intermediate filaments, Actin filaments, Cytosol"		"HPA043251: AB_10794925"	"unprognostic (8.48e-4)"	"unprognostic (1.55e-1)"		"unprognostic (1.68e-1)"	"unprognostic (1.12e-1)"	"unprognostic (1.70e-1)"			"unprognostic (2.02e-2)"	"unprognostic (6.85e-4)"	"unprognostic (2.80e-2)"	"unprognostic (8.00e-2)"	"unprognostic (9.97e-2)"			"unprognostic (6.52e-2)"	"unprognostic (6.74e-2)"	"unprognostic (2.58e-2)"	"unprognostic (1.04e-1)"	"unprognostic (3.78e-3)"	"unprognostic (1.92e-1)"	"unprognostic (9.06e-3)"	"unprognostic (1.88e-2)"	"unprognostic (1.70e-1)"	"unprognostic (7.16e-2)"	"unprognostic (2.23e-2)"	"unprognostic (1.65e-1)"	"unprognostic (3.55e-2)"	"unprognostic (1.68e-1)"	"unprognostic (1.07e-1)"	"unprognostic (3.23e-2)"
BNIP3	"HABON, Nip3"	ENSG00000176171	"BCL2 interacting protein 3"	Q12983	10	131967684-131981967	"Cancer-related genes, Predicted membrane proteins, Transporters"	"Apoptosis, Host-virus interaction"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"pancreas: 439.6"	"Cell type enhanced"	"Detected in all"		"Extravillous trophoblasts: 544.8;Hepatocytes: 459.6;Proximal tubular cells: 581.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA003015, CAB011676"	Supported						NA	NA			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 68: Non-specific - Protein processing"	"Cluster 27: Non-specific - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	65			"CAB011676: , HPA003015: AB_1078290"	"unprognostic (1.76e-4)"	"unprognostic (7.25e-4)"	"unprognostic (3.23e-1)"	"unprognostic (9.69e-4)"	"unprognostic (8.05e-2)"	"unprognostic (7.96e-2)"	"unprognostic (2.07e-2)"	"unprognostic (2.20e-1)"	"unprognostic (6.68e-4)"	"unprognostic (4.47e-4)"	"unprognostic (2.07e-6)"	"unprognostic (4.47e-2)"	"unprognostic (3.66e-2)"	"unprognostic (6.71e-2)"	"unprognostic (9.01e-2)"	"unprognostic (2.46e-2)"	"unprognostic (2.87e-3)"	"unprognostic (2.13e-1)"	"unprognostic (1.75e-1)"	"unprognostic (1.54e-1)"	"unprognostic (5.84e-2)"	"unprognostic (1.16e-1)"	"unprognostic (4.70e-2)"	"unprognostic (2.31e-2)"	"unprognostic (1.34e-1)"	"unprognostic (5.85e-3)"	"unprognostic (2.44e-1)"	"unprognostic (1.60e-2)"	"unprognostic (3.99e-2)"	"unprognostic (3.02e-2)"	"unprognostic (1.87e-1)"
C13orf46		ENSG00000283199	"Chromosome 13 open reading frame 46"	A0A1B0GUA9	13	113953705-113974076	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"pancreas: 9.2;stomach 1: 6.7;testis: 12.3"	"Cell type enhanced"	"Detected in some"		"Alveolar cells type 1: 10.9;Early spermatids: 30.0;Gastric mucus-secreting cells: 8.8;Late spermatids: 48.7"	"Cell type enhanced"	"Detected in some"		"central nervous system macrophage: 4.4;leukocyte: 4.1"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adipose visceral - Mesothelial cells, Minor Salivary Gland - Minor salivary glandular cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid gland - Thyroid glandular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 46: Testis - Spermatogenesis"	"Cluster 8: Immune cells - Immune response"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 63: Late spermatids - Spermatogenesis"																																			
C1orf127	FLJ37118	ENSG00000175262	"Chromosome 1 open reading frame 127"		1	10946471-10982076	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enhanced"	"Detected in some"		"pancreas: 4.3;skeletal muscle: 16.1"	"Group enriched"	"Detected in some"	4	"Enteroendocrine cells: 14.9;Pancreatic endocrine cells: 13.6"	"Group enriched"	"Detected in some"	9	"cerebellar inhibitory: 14.9;midbrain-derived inhibitory: 15.6"	"Cancer enriched"	"Detected in single"	8	"Pancreatic Adenocarcinoma (TCGA): 4.4"	"Region enhanced"	"Detected in some"		"cerebellum: 2.4"	"Immune cell enhanced"	"Detected in single"		"myeloid DC: 1.3"	"Lineage enhanced"	"Detected in single"		"dendritic cells: 1.3"	"Cancer enriched"	"Detected in some"	5	"Myeloma: 6.0"	"Heart muscle - Cardiomyocytes, Pancreas - Beta cells, Skeletal muscle - Skeletal myocytes"	"Not detected"	"Not detected"							HPA027654	Uncertain		Approved	"Nuclear speckles,Cytosol"			NA	NA			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 2: Skeletal muscle - Striated muscle contraction"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 20: Enteroendocrine cells - Hormone signaling"		"Nuclear speckles, Cytosol"		"HPA027654: AB_10611814"			"unprognostic (4.16e-1)"																			"unprognostic (2.90e-2)"									
C3orf52	"FLJ23186, TTMP"	ENSG00000114529	"Chromosome 3 open reading frame 52"	Q5BVD1	3	112086335-112131004	"Predicted membrane proteins"			"Disease variant, Hypotrichosis"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"pancreas: 16.9;skin 1: 25.4"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 48.1;Basal squamous epithelial cells: 50.5;Gastric mucus-secreting cells: 57.2;Intestinal goblet cells: 64.7;Syncytiotrophoblasts: 81.7"	"Cell type enhanced"	"Detected in many"		"deep-layer near-projecting: 25.1"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Liver - Cholangiocyte, Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary glandular cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA008119, HPA011968"	Uncertain						NA	NA				"Cluster 48: Stomach - Proteolysis"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 45: Non-specific - Mixed function"	104			"HPA008119: AB_1848824, HPA011968: AB_1848826"	"unprognostic (2.92e-2)"	"unprognostic (2.19e-2)"	"unprognostic (9.51e-2)"	"unprognostic (2.62e-2)"	"unprognostic (1.04e-2)"	"unprognostic (7.34e-2)"			"unprognostic (1.33e-5)"	"unprognostic (6.44e-2)"	"unprognostic (3.31e-2)"	"unprognostic (8.20e-2)"	"unprognostic (1.79e-1)"			"unprognostic (2.65e-1)"	"unprognostic (6.73e-3)"	"unprognostic (3.11e-3)"	"unprognostic (3.83e-1)"			"unprognostic (4.34e-4)"	"unprognostic (9.67e-2)"	"unprognostic (2.43e-2)"	"unprognostic (1.48e-1)"	"unprognostic (8.48e-4)"		"unprognostic (7.57e-2)"	"unprognostic (1.86e-1)"	"unprognostic (3.02e-3)"	"unprognostic (7.50e-2)"
CAMK2N2	CaM-KIIN	ENSG00000163888	"Calcium/calmodulin dependent protein kinase II inhibitor 2"	Q96S95	3	184259213-184261553	"Predicted intracellular proteins"		"Protein kinase inhibitor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 95.6;pancreas: 32.7;pituitary gland: 38.6"	"Group enriched"	"Detected in some"	7	"Horizontal cells: 85.0;Inhibitory neurons: 43.4"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Glioblastoma Multiforme (TCGA): 18.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Colon - Colon enteroendocrine cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA050835, HPA075200"	Approved		Approved	"Nucleoplasm,Centrosome,Basal body"			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 45: Non-specific - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"		"Nucleoplasm, Centrosome, Basal body"		"HPA050835: AB_2681253, HPA075200: "	"unprognostic (3.80e-2)"	"unprognostic (6.06e-2)"	"unprognostic (2.63e-1)"	"unprognostic (1.64e-3)"		"unprognostic (2.01e-1)"	"unprognostic (2.94e-2)"	"unprognostic (8.51e-3)"	"unprognostic (4.94e-2)"			"unprognostic (4.82e-3)"	"unprognostic (3.48e-3)"	"unprognostic (6.59e-2)"	"unprognostic (1.39e-1)"	"unprognostic (1.20e-4)"		"unprognostic (7.30e-2)"		"unprognostic (5.47e-2)"		"unprognostic (1.23e-2)"		"unprognostic (1.44e-2)"			"unprognostic (3.41e-1)"	"unprognostic (2.81e-1)"	"unprognostic (2.64e-1)"	"unprognostic (6.87e-2)"	"unprognostic (4.38e-2)"
CCDC198	"C14orf105, FLJ10650"	ENSG00000100557	"Coiled-coil domain containing 198"	Q9NVL8	14	57469300-57493867	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"fallopian tube: 26.6;kidney: 94.7;liver: 35.9;pancreas: 33.0"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 68.7;Ciliated cells: 24.0;Collecting duct cells: 54.5;Distal tubular cells: 40.0;Ductal cells: 23.6;Hepatocytes: 23.6;Proximal tubular cells: 165.4"	"Cell type enhanced"	"Detected in some"		"astrocyte: 10.0;bergmann glia: 6.2"	"Group enriched"	"Detected in many"	4	"Kidney Chromophobe (TCGA): 17.4;Kidney Renal Clear Cell Carcinoma (TCGA): 32.8;Kidney Renal Papillary Cell Carcinoma (TCGA): 66.9"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in some"		"Bile duct cancer: 9.6;Kidney cancer: 17.5"		"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA029202			Uncertain	Nucleoplasm,Cytosol			NA	NA			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 6: Non-specific - Immune response"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	16	Cytosol	Nucleoplasm	"HPA029202: AB_10600754"	"unprognostic (1.20e-1)"					"unprognostic (2.56e-2)"				"unprognostic (1.23e-2)"	"unprognostic (1.51e-5)"	"unprognostic (2.56e-3)"	"unprognostic (1.95e-3)"	"unprognostic (1.48e-3)"		"unprognostic (1.37e-2)"						"unprognostic (1.65e-1)"	"unprognostic (5.80e-2)"			"unprognostic (2.24e-1)"		"unprognostic (1.40e-1)"	"unprognostic (1.34e-1)"		"unprognostic (8.36e-3)"
CCNO	"CCNU, FLJ22422, UDG2, UNG2"	ENSG00000152669	"Cyclin O"	P22674	5	55231152-55233608	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Cell cycle, Cell division, Cilium biogenesis/degradation"	Cyclin	"Ciliopathy, Disease variant, Primary ciliary dyskinesia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 10.5;pancreas: 9.8;testis: 12.8"	"Cell type enhanced"	"Detected in many"		"Basal respiratory cells: 39.6;Ciliated cells: 97.5;Club cells: 100.8;Ionocytes: 145.4;Oocytes: 56.6;Spermatocytes: 50.1"	"Group enriched"	"Detected in many"	6	"choroid plexus epithelial cell: 66.5;ependymal cell: 20.3"	"Cancer enhanced"	"Detected in many"		"Uterine Corpus Endometrial Carcinoma (TCGA): 18.5"	"Region enriched"	"Detected in all"	5	"choroid plexus: 25.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Breast - Breast glandular cells, Lung - Respiratory ciliated cells"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			"HPA050090, HPA076641"	Uncertain		Supported	"Nucleoli,Centriolar satellite"			NA	NA				"Cluster 46: Testis - Spermatogenesis"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 30: Non-specific - Gene expression regulation"	"Cluster 35: Respiratory epithelial cells - Unknown function"	4	Nucleoli	"Centriolar satellite"	"HPA050090: AB_2681011, HPA076641: "	"unprognostic (6.50e-2)"	"unprognostic (1.42e-2)"	"unprognostic (1.51e-1)"	"unprognostic (3.93e-2)"	"unprognostic (2.43e-2)"	"unprognostic (1.15e-1)"			"unprognostic (9.83e-2)"	"unprognostic (1.18e-1)"			"unprognostic (2.11e-1)"			"unprognostic (1.62e-1)"		"unprognostic (3.57e-2)"		"unprognostic (2.23e-1)"	"unprognostic (7.52e-3)"	"unprognostic (2.83e-1)"	"unprognostic (3.06e-3)"	"unprognostic (1.06e-1)"	"unprognostic (4.69e-2)"		"unprognostic (1.66e-1)"	"unprognostic (5.05e-4)"	"unprognostic (2.50e-1)"	"unprognostic (2.15e-1)"	"unprognostic (9.47e-3)"
CEACAM16	DFNA4B	ENSG00000213892	"CEA cell adhesion molecule 16, tectorial membrane component"	Q2WEN9	19	44699151-44710718	"Disease related genes, Human disease related genes, Predicted secreted proteins"			"Deafness, Disease variant, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"pancreas: 2.0"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 5.3;Rod photoreceptor cells: 2.1"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA045075	Uncertain				"Secreted in other tissues"	"No annotated function"	NA	NA				"Cluster 15: Pancreas - Proteolysis"		"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 2: Skeletal myocytes - Muscle contraction"				"HPA045075: AB_10959617"			"unprognostic (2.37e-1)"																												
CFC1	"CRYPTIC, HTX2"	ENSG00000136698	"Cripto, FRL-1, cryptic family 1"	P0CG37	2	130592165-130599575	"Disease related genes, Human disease related genes, Predicted secreted proteins"	Gastrulation	"Developmental protein"	"Disease variant, Heterotaxy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 32.7;pancreas: 29.8;pituitary gland: 57.7"	"Group enriched"	"Detected in some"	4	"Bipolar cells: 12.6;Enteroendocrine cells: 8.4;Pancreatic endocrine cells: 20.4"	"Cell type enhanced"	"Detected in many"		"lower rhombic lip: 14.9;mammillary body: 18.8"	"Cancer enriched"	"Detected in some"	6	"Pancreatic Adenocarcinoma (TCGA): 41.7"	"Region enhanced"	"Detected in many"		"hypothalamus: 55.3"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	10	"prostate cancer: 13.7;testis cancer: 3.6"	"Adipose visceral - Mesothelial cells, Pancreas - Alpha cells, Pancreas - Beta cells"									HPA041773	Uncertain				"Secreted - unknown location"	"Developmental protein"	NA	NA				"Cluster 32: Endocrine & Neural - Unknown function"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 20: Enteroendocrine cells - Hormone signaling"	79			"HPA041773: AB_2677664"																	"unprognostic (1.43e-1)"					"unprognostic (2.76e-3)"	"unprognostic (2.43e-2)"	"unprognostic (8.97e-5)"					"unprognostic (5.11e-1)"		
